"name","code","lifeExp","meanSchool","gniPerCap","homicide","internetUser","genderInequality","predPopGrowth","medAge","GDPGrowth"
"Guyana","GUY",70.2,8.5,3387,18.6,29.9,0.49,0,23.8,0.2455858748
"Botswana","BWA",53,8.9,13102,14.5,6,0.485,0.0952380952,22.9,0.3575700346
"Honduras","HND",73.4,6.5,3426,91.6,11.1,0.483,0.3544303797,21,0.2347645429
"Indonesia","IDN",69.8,5.8,4154,8.1,9.9,0.494,0.1425653595,27.8,0.5608082348
"South Africa","ZAF",53.4,8.5,9594,31.8,12.3,0.462,0.0788954635,24.9,0.2665881429
"Kyrgyzstan","KGZ",68,9.3,2009,20.1,19.6,0.357,0.2407407407,23.8,0.4107498341
"Tajikistan","TJK",67.8,9.8,2119,2.1,11.5,0.338,0.2676056338,20.4,1.1176470588
"Viet Nam","VNM",75.4,5.5,2970,1.6,27.9,0.299,0.1315496098,28.2,0.8866624922
"Namibia","NAM",62.6,6.2,5973,17.2,6.5,0.455,0.25,21.2,0.3334818445
"Nicaragua","NIC",74.3,5.8,2551,13.6,10,0.461,0.2,22.1,0.2062675398
"Morocco","MAR",72.4,4.4,4384,1.4,49,0.444,0.1503067485,26.3,0.5001715266
"Iraq","IRQ",69.6,5.6,3557,2,2.5,0.557,0.6409495549,18.3,-0.2606717226
"Guatemala","GTM",71.4,4.1,4235,38.5,10.5,0.539,0.5033112583,18.9,0.0987373737
"Ghana","GHA",64.6,7,1684,15.7,9.5,0.565,0.431372549,20.5,0.5482661668
"India","IND",65.8,4.4,3285,3.4,7.5,0.61,0.2106643357,25.1,0.8600464576
"Cambodia","KHM",63.6,5.8,2095,3.4,1.3,0.473,0.2,22.9,1.0096618357
"Lao People's Democratic Republic","LAO",67.8,4.6,2435,4.6,7,0.483,0.21875,21.5,0.8184501845
"Bhutan","BTN",67.6,2.3,5246,1,13.6,0.464,0.125,24.6,0.8853126156
"Swaziland","SWZ",48.9,7.1,5104,12.9,9,0.525,0.25,19.5,0.2025629496
"Congo","COG",57.8,5.9,2934,30.8,5,0.61,0.4761904762,19.6,0.2451923077
"Kenya","KEN",57.7,7,1541,20.1,25.9,0.608,0.5433255269,18.5,0.1745908028
"Bangladesh","BGD",69.2,4.8,1785,2.7,3.7,0.518,0.1935695538,24.2,0.6164948454
"Pakistan","PAK",65.7,4.9,2566,7.8,16.8,0.567,0.3022222222,21.7,0.3138211382
"Cameroon","CMR",52.1,5.9,2114,19.7,4,0.628,0.4048780488,19.3,0.1279007016
"Tanzania (United Republic of)","TZA",58.9,5.1,1383,24.5,11,0.556,0.7169811321,17.5,0.5368663594
"Senegal","SEN",59.6,4.5,1653,8.7,16,0.54,0.5267175573,17.8,0.137524558
"Mauritania","MRT",58.9,3.7,2174,14.7,3,0.643,0.4444444444,19.8,0.2732919255
"Papua New Guinea","PNG",63.1,3.9,2386,13,1.3,0.617,0.4166666667,20.4,0.211173757
"Nepal","NPL",69.1,3.2,1137,2.8,7.9,0.485,0.2870967742,21.4,0.2203765227
"Lesotho","LSO",48.7,5.9,1879,35.2,3.9,0.534,0.1818181818,20.3,0.3672727273
"Togo","TGO",57.5,5.3,928,10.9,5.4,0.566,0.380952381,19.7,-0.0021834061
"Yemen","YEM",65.9,2.5,1820,4.2,12.3,0.747,0.61328125,17.4,-0.0283018868
"Haiti","HTI",62.4,4.9,1070,6.9,8.4,0.592,0.213592233,21.5,-0.09058927
"Uganda","UGA",54.5,4.7,1168,36.3,12.5,0.517,0.6797752809,15.7,0.5348837209
"Zambia","ZMB",49.4,6.7,1358,38,10.1,0.623,0.7625899281,16.7,0.3828960155
"Gambia","GMB",58.8,2.8,1731,10.8,9.2,0.594,0.5555555556,17.8,0.1861937935
"Benin","BEN",56.5,3.2,1439,15.1,3.1,0.618,0.5531914894,17.9,0.0934150077
"Rwanda","RWA",55.7,3.3,1147,17.1,13,0.414,0.5575221239,18.7,0.6596066566
"Côte d'Ivoire","CIV",56,4.2,1593,56.9,2.6,0.632,0.4466019417,19.2,-0.1270016565
"Malawi","MWI",54.8,4.2,774,36,2.3,0.573,0.7735849057,16.9,0.2068965517
"Liberia","LBR",57.3,3.9,480,10.1,7,0.658,0.5476190476,18.2,0.4709302326
"Burundi","BDI",50.9,2.7,544,21.7,2.1,0.476,0.3103448276,20.2,0.0745967742
"Central African Republic","CAF",49.1,3.5,722,29.3,2.3,0.654,0.3913043478,19.4,-0.0652741514
"Mali","MLI",51.9,2,853,8,2.7,0.649,0.6441717791,16.3,0.2700922266
"Burkina Faso","BFA",55.9,1.3,1202,18,1.4,0.609,0.6628571429,17.1,0.347010551
"Mozambique","MOZ",50.7,1.2,906,8.8,4.2,0.582,0.4653061224,17.8,0.7185628743
"Congo (Democratic Republic of the)","COD",48.7,3.5,319,21.7,0.7,0.681,0.5229885057,16.7,0.2653846154
"Niger","NER",55.1,1.4,701,3.8,0.8,0.707,0.8554216867,15.5,0.0753768844
